Main Sequence Stars (V)

Type,Surface Temp.,Radius (Sun=1),Mass (Sun=1),Absolute Magnitude (Visual),Luminosity (bolometric) (Sun=1),Habitable Zone (AU),Lifetime (million y),Abundance (% of all stars)
O3,53 000K,15,120,-6.0,1 400 000,1200,2,0.00001%
O5,45 000K,12,60,-5.7,790 000,890,3
O8,35 000K,8.5,23,-4.9,170 000,410,6
B0,30 000K,7.4,17,-4.0,50 000,220,9,0.1%
B3,19 000K,4.8,7.6,-1.6,1900,44,30
B5,15 000K,3.9,5.9,-1.2,830,29,50
B8,12 000K,3.0,3.8,-0.2,180,13,150
A0,9 500K,2.4,2.9,+0.6,54,7.3,300,0.7%
A5,8 200K,1.7,2.0,+1.9,14,3.7,1 000
F0,7 200K,1.5,1.6,+2.7,6.5,2.5,1 900,2%
F5,6 400K,1.3,1.3,+3.5,3.2,1.8,3 200
G0,6 000K,1.1,1.05,+4.4,1.5,1.2,8 000,3.5%
G2,5 800K,1.0,1.00,+4.8,1.0,1.0,10 000
G5,5 700K,0.92,0.92,+5.1,0.79,0.89,12 000
K0,5 200K,0.85,0.79,+5.9,0.42,0.65,22 000,8%
K5,4 300K,0.72,0.67,+7.4,0.15,0.39,45 000
M0,3 800K,0.60,0.51,+8.8,0.08,0.28,68 000,80%
M5,3 200K,0.27,0.21,+12.3,0.011,0.10,200 000
M8,2 600K,0.15,0.06,+16.0,0.001,0.03,700 000



kind,Type,SurfaceTemp.,Radius(Sun=1),Mass(Sun=1),Absolute Magnitude (Visual),Luminosity (bolometric) (Sun=1),Habitable Zone (AU)
Giant,B0,29 000K,15,20,-5.1,1 100 000,1000
Giant,B5,15 000K,8,7,-2.2,1800,42
Giant,A0,10 000K,5,4,+0.0,110,11
Giant,F0,7 200K,5,2,+0.5,60,7.7
Giant,G0,5 800K,6,1.0,+1.0,34,5.8
Giant,G5,5 100K,10,1.1,+0.9,43,6.6
Giant,K0,4 700K,15,1.1,+0.7,60,7.7
Giant,K5,3 900K,25,1.2,-0.2,220,15
Giant,M0,3 800K,40,1.2,-0.4,330,18
Giant,M5,3 300K,80,1.2,-0.3,930,30

kind,Type,Surface Temp.,Radius (Sun=1),Mass (Sun=1),Absolute Magnitude (Visual),Luminosity (bolometric) (Sun=1),Habitable Zone (AU)
Supergiant,O5,40 000K,30,70,-6.6,11 000 000,3300
Supergiant,B0,26 000K,30,25,-6.4,2 600 000,1600
Supergiant,A0,9 700K,60,16,-6.3,35 000,190
Supergiant,F0,7 700K,80,12,-6.6,32 000,180
Supergiant,G0,5 500K,120,10,-6.4,30 000,170
Supergiant,G5,4 800K,150,12,-6.2,29 000,170
Supergiant,K0,4 400K,200,13,-6.0,29 000,170
Supergiant,K5,3 800K,400,13,-5.8,38 000,190
Supergiant,M0,3 600K,500,13,-5.6,41 000,200



